beta_true,theta,specification,mean_beta,sd_beta,mean_se,coverage_true,coverage_zero,rejection_rate,mean_p_value,mean_selected,mean_selection_rate,replications,bias
0.5,0.5,poly3,0.5153099056469927,0.03070248789684882,0.02604189982869249,0.8,0.0,1.0,3.288479747071868e-47,1173.95,0.4903541843929308,20,0.01530990564699275
0.5,0.5,poly5,0.5153494482152388,0.03125722472069264,0.02622107119644911,0.8,0.0,1.0,9.366208198136776e-48,1173.95,0.4903541843929308,20,0.015349448215238759
0.5,0.5,spline6,0.5152289098558587,0.0312861204219437,0.02624117900159944,0.8,0.0,1.0,1.3604906763650934e-47,1173.95,0.4903541843929308,20,0.015228909855858674
0.5,0.5,uncorrected,0.6266870551112025,0.0329354874707242,0.030197945930505527,0.05,0.0,1.0,3.912315603588281e-65,1173.95,0.4903541843929308,20,0.12668705511120248
