year,yw_within_abs,yw_between_abs,yw_entry_abs,yw_exit_abs,yw_gross_total,within_share_t,between_share_t,entry_share_t,exit_share_t,share_total_t
2010,946700125.6020811,5929111838.775894,8686826904.698641,3829742739.799128,19392381608.87574,4.881814646060719,30.57443875827087,44.79504931319395,19.7486972824745,100
2011,1856579692098.845,1860513751622.18,5750349446.883882,5813680288.977897,3728657473456.886,49.79217601282067,49.89768475293264,.1542203725555048,.1559188616912017,100
2012,897899478.8879989,4368924589.97443,4599407671.648944,5013471445.925009,14879703186.43638,6.034391060343736,29.36163803292078,30.91061437194219,33.6933565347933,100
2013,626849532.0855588,4293547349.401486,4592628095.197403,5378138323.192785,14891163299.87724,4.209540379499608,28.83285384048459,30.84129831035607,36.11630746965968,99.99999999999994
2014,474602365.542354,3780914579.934879,6035072556.111399,5334356131.198,15624945632.78664,3.037465708338026,24.19793750834684,38.62459875346825,34.13999802984686,99.99999999999997
2015,446447731.2989278,3712699737.727015,2413014051.027705,4395774780.824742,10967936300.87839,4.070480708965943,33.85048596087921,22.00062058014007,40.07841275001475,99.99999999999997
2016,473080396.7990749,2507744906.070167,3031123539.513641,2874927062.239062,8886875904.621944,5.323359995980502,28.21852058006034,34.10786391128962,32.35025551266954,100
2017,360398135.2047131,3341380864.345429,4593385678.152956,2680145988.456937,10975310666.16003,3.28371693674168,30.44452194549578,41.85198777393752,24.41977334382507,100
2018,280471807.7457148,2254110294.105244,1886727561.030392,2374899793.981013,6796209456.862363,4.126885869630061,33.16716926417258,27.76146869819174,34.94447616800563,100
2019,400776846.7935928,1698882023.311706,1630658506.641464,1389589682.195027,5119907058.94179,7.827814883741806,33.18189185377205,31.84937710526521,27.14091615722092,100
2020,267463946.6880881,950755671.5333993,833256583.7117831,976610697.1269376,3028086899.060208,8.832769851192108,31.39789917615886,27.51759151860507,32.25173945404396,100
2021,223627143.860545,809608233.9072468,566440191.8510499,900740950.0015886,2500416519.62043,8.943595681190434,32.37893477164146,22.65383336761177,36.02363617955633,100
2022,200005200.869509,829668825.4329978,91854942.41814508,877967571.8009789,1999496540.521631,10.00277804018263,41.49388651688054,4.593903543047984,43.90943189988884,100
2023,8028093.261827847,157507205.5212464,12736774.72425636,143160762.6248604,321432836.1321911,2.497595876771671,49.00159156623022,3.962499562122611,44.53831299487546,99.99999999999997
