measure,stat_id,stat,value,x
CR4,1,Mean,.5748984625869408,.84
CR4,2,Median,.5680527589283486,1.84
CR4,3,p75,.7324387519401359,2.84
CR4,4,p90,.8586841180006121,3.84
HHI,1,Mean,.1581111895856532,1.16
HHI,2,Median,.1202800230205139,2.16
HHI,3,p75,.2090737876622024,3.16
HHI,4,p90,.3171543820492003,4.16
