year,isic4,output_IV,change_IP,inv_mu_j,mu_j,d_inv_mu_j,d_ln_mu_j,n_firms,dom_j,S_j,L_S_j,c_mfg_total_invmu,c_mfg_within_firm,c_mfg_between_firm,c_mfg_entry,c_mfg_exit,c_mfg_between_sector,c_mfg_decomp_sum,abs_component_max
2023,2599,,,.9238180655233356,1.082464218139648,.2083343008426042,-.2555562456037337,1,111183728,.3811351638378356,.0716746616845382,.3008174929853177,.0136283844495909,.127764300875975,0,-.0942247761181332,.253649583777885,.3008174929853177,.253649583777885
2023,2420,,,.9130353340179513,1.095247864723206,.0684291001269139,-.0779040574991718,1,80992152,.2776391624689801,.0471770365713797,.2136483462566367,.0001604291723038,.095154557458098,0,-.0842015465269136,.2025349061531485,.2136483462566367,.2025349061531485
2019,2930,.00054073683,-.0021252278,.724135047955819,1.380957879090272,-.0153731543856189,.0210074685121316,214,1145821380.175781,.058905575600088,.1107825612595787,-.0392690209158164,.0003700580420317,-.0103570315539974,.0107433135301851,-.0020606609808952,-.0379646999531406,-.0392690209158164,.0379646999531406
2017,2410,-.0019785485,-.0082167778,.6502373410904153,1.53789998944547,-.0687562108988768,.1005149532734685,169,1432852652.5,.0432816265334518,.0967013779435417,-.041384337454706,-.0000709372814478,.0171156883362567,.0037820884183971,-.0256391899622453,-.0365719869656667,-.041384337454706,.0365719869656667
2023,2029,,,.7019908162132661,1.424520060524835,.1329754249871374,-.2100128382559022,4,18984983.8125,.0650800710319395,.0079784353222768,.0411457596866509,.0000159135835656,.0006000884837483,.0244612257886151,-.0202197348902403,.0362882667209622,.0411457596866509,.0362882667209622
2020,2930,,,.7493265971335484,1.334531569846006,.0251915491777295,-.0341970273977902,207,1647670044.291992,.1079127552096996,.058905575600088,.038206305836555,-.0013323897182718,.0051908103930293,.0020328686210081,-.0037900832035948,.0361050997443842,.0382063058365549,.0361050997443842
2021,2930,,,.6514360329600264,1.535070136443254,-.097890564173522,.1399957252217807,178,552702309.3455429,.0565173677655608,.1079127552096996,-.04404444779805,-.0009455869406339,-.0033661096102438,.0037849998258086,-.0075213820275158,-.035996369045465,-.0440444477980499,.035996369045465
2023,1410,,,.6915093164704662,1.446112114734913,.0701560047166604,-.1069767636856807,2,14751430,.050567549685799,.0575700872827409,-.0008034326722735,.0000715114548806,.0354586228503237,0,-.0317368820205976,-.0045966849568802,-.0008034326722735,.0354586228503237
2016,2410,.00038736957,-.0046717115,.7189935519892922,1.39083305717169,-.0115882302909848,.0159887891097911,181,3414299185.931641,.0967013779435417,.0495678556027588,.0333142949198111,-.0041495662598385,.0028597126868826,.0031770860475845,-.0027347332560387,.0341617957012213,.0333142949198112,.0341617957012213
2018,1920,,,.5314466506163155,1.881656416199643,-.2917376517241442,.4375772976565165,30,156729950.6396484,.0069380087196497,.0553497299898466,-.0418758473704201,-.0011674057979386,.012706890097767,.002764761914122,-.0233900855251082,-.0327900080592623,-.0418758473704201,.0327900080592623
2018,2930,.000090559792,-.00038998015,.7395082023414379,1.352250045143232,.0397238944860154,-.0552132179029591,212,2502583386.609558,.1107825612595787,.0666277237104733,.0352995772071353,.000233943979389,.0101113092295014,.0029088998410173,-.0097304393294656,.0317758634866932,.0352995772071353,.0317758634866932
2013,2640,,,.7809696035892549,1.280459566421157,-.0880318127151287,.1068085258513015,9,159220384,.0041361916791928,.0390313141819918,-.0306880273283039,.0010649027050526,.0139999138097622,.0004023973840997,-.0173672707945901,-.0287879704326284,-.0306880273283039,.0287879704326284
2013,2930,.000040042349,.0034850435,.8297074409324758,1.205244102519002,.0092599017634097,-.0112231870011159,206,3077645705.320313,.0799503947801641,.0459838874556211,.0286080701501995,-.0000969668846681,-.0158460545159739,.0278976431288602,-.0113715521871437,.0280250006091251,.0286080701501995,.0280250006091251
2023,2513,,,.8586799050197709,1.164578318595886,-.0757542262689159,.084544923125045,1,9716632,.033308382403511,.0024084754961995,.0263506769305878,-.0005107230381435,.0051640119582284,0,-.0060061403875595,.0277035283980625,.0263506769305878,.0277035283980625
2014,2640,,,.8633016975260548,1.158343604403511,.0823320939367999,-.1002279923396793,7,1595331120,.0369358225090565,.0041361916791928,.0286565182955211,.0000541308048191,-.0053061842553327,.0170607460161938,-.01011792010052,.0269657458303609,.0286565182955211,.0269657458303609
2011,2410,.00017117038,,.8710617055736769,1.148024294491749,.02284347142115,-.0265748645818025,176,4129382687.011719,.0783738484077035,.0783374207949826,.0018212293316034,-.0029104201787913,.0214756822617319,.0098106034483396,-.0265859508315784,.0000313146319016,.0018212293316035,.0265859508315784
2017,1920,,,.8231843023404597,1.214794787943382,.6983124314591674,-1.885891936619576,25,1832371234.242188,.0553497299898466,.0139980231258272,.043815069530063,-.0001409793302343,.0004481106445415,.0260489336024737,-.0021428658695628,.0196018704828449,.0438150695300631,.0260489336024737
2011,1920,,,.0922308410693084,10.84236019542025,-.7322092494707044,2.190409901329507,30,452154596.9921875,.0085816933250031,.0649533081605808,-.0527586144676187,.0001742972443729,-.0016721293798092,.0000415624500891,-.0254652344384461,-.0258371103438254,-.0527586144676187,.0258371103438254
2018,2640,,,.8637858157955616,1.15769439797872,.0363932835416569,-.0430456112581072,11,616165373.625,.0272759655541869,.0572234153352448,-.0237856343606101,-.0006693614177501,.0192314870210118,.0001461159422395,-.0171706365815994,-.0253232393245119,-.0237856343606101,.0253232393245119
2023,1072,,,.7089823873581071,1.410472273826599,-.0000139332662559,.0000196522926302,1,14251013,.0488521321628119,.0167195019585523,.0227812359170387,.000325807745469,.0181113209039996,0,-.0184375854629871,.0227816927305572,.0227812359170387,.0227816927305572
2020,3211,,,.7661929726735799,1.305154230938149,-.0989946945227149,.1215123791327607,8,108528314.265625,.0071079701007129,.0346123035052358,-.024500061384845,-.0003836348395986,.0123807167876791,.0008285479064905,-.0148906727250836,-.0224350185143325,-.024500061384845,.0224350185143325
2010,2910,,,.8398689431957201,1.190661957560876,-.1276352175024484,.1414738656980361,9,1296900740.588867,.026471263602168,.0022451387822678,.0200602110734192,-.0001998031838079,-.0123259858905693,.0107516335166178,-.0000584565743532,.0218928232055318,.0200602110734192,.0218928232055318
2017,2640,,,.8273925322539046,1.208616177953522,-.0214619323840538,.0256085234447295,10,1894400211.25,.0572234153352448,.0370549722298596,.0158919479040932,.0013489413648859,-.0215359346522251,.0192102852459738,-.0000349901482345,.0169036460936932,.0158919479040932,.0215359346522251
2013,2410,.00024505737,.001236436,.8855806445537786,1.129202638009184,-.0125882660138218,.0141146216023978,174,1788516430.032471,.0464616815394687,.0664478530928679,-.0185358299372021,-.0015666444932564,.0190431349498639,.0021383763921112,-.020325534477443,-.0178251623084777,-.0185358299372021,.020325534477443
2012,2640,,,.8690014163043837,1.150746110694176,.0619127881038491,-.0739112685456312,12,1878778074,.0390313141819918,.0551344094754432,-.0105800876058097,.0004768820380352,.0194840760173122,.0000759343566977,-.0171218611643209,-.0134951188535339,-.0105800876058097,.0194840760173122
2017,2930,.00023251893,.00025950931,.6997843078554224,1.429011752299257,-.0697670276962787,.0950355079954499,209,2205732970.197021,.0666277237104733,.0918602905196759,-.024066173732868,-.0005157108039494,-.0020768579436875,.0015458929539198,-.0044819430454444,-.0185375548937065,-.024066173732868,.0185375548937065
2023,2100,,,.8652323910946521,1.155758857727051,.4066489740466185,-.6348559212517911,1,522138.46875,.0017898781990209,.0293273172358522,-.0119003607569618,.0002022801274339,.0132147812057535,0,-.0070901735337878,-.0182272485563614,-.0119003607569618,.0182272485563614
2023,2220,,,.5939459841377004,1.683654787988532,.071685757957219,-.1286223981814603,4,6238141.25,.0213841992001052,.0395231895404326,-.0079403306698573,-.0003461736506221,.0178601947238938,0,-.0153309249097414,-.0101234268333875,-.0079403306698573,.0178601947238938
2023,1312,,,.8960796591511423,1.115972212724147,.1674554371566529,-.2068711857327468,4,4852586.59375,.0166345509339837,.0250511209128408,-.0033469707541521,.0002252570385263,.0176114361536233,0,-.0143464469910102,-.0068372169552915,-.0033469707541521,.0176114361536233
2019,3211,.00030064027,,.8651876671962948,1.155818602038763,-.0171289385170837,.0196045152921392,9,673272724.515625,.0346123035052358,.014458865890154,.0171888406513195,-.0008003856625729,.001454527417051,1.35665373591e-06,-.0010757669299816,.017609109173087,.0171888406513195,.017609109173087
2022,2930,,,.6134023744226448,1.630251270124662,-.0380336585373816,.0601580848996489,112,256578830.4211426,.0427160616196168,.0565173677655608,-.0106153162270829,.0004242296015885,.0104280008556451,.0048137224468082,-.0175530580884064,-.0087282110427183,-.0106153162270829,.0175530580884064
2016,2930,-.000065300075,-.0029607601,.7695513355517012,1.299458468593375,.043621988745407,-.0583549722810194,208,3243371726.552734,.0918602905196759,.0686129988099894,.0208830198450273,-.0001303079191953,-.0006906603903518,.0062956714077483,-.0019746210876626,.0173829378344887,.0208830198450272,.0173829378344887
2012,2910,-.000026818134,-.0016323759,.8266658729330002,1.209678580841873,.0104630313981696,-.0127376859433312,7,47245408.28125,.0009815158052999,.0212353408336317,-.016520959909385,.0001244601713736,.0084061884571158,.0000650210771767,-.0084794418713753,-.0166371877436759,-.016520959909385,.0166371877436759
2023,1311,,,.8683620574573945,1.151593383672299,.1420712645908696,-.1786582688096124,2,2556362.96875,.0087631511953216,.0295134234302546,-.0138257397015854,.00011202405111,.0162161682113727,0,-.0136091915818515,-.0165447403822166,-.0138257397015854,.0165447403822166
2013,2100,.00026992825,.0010573622,.6004787040919122,1.665337993147106,.0142513620398194,-.0240195072021201,28,818281838.0820313,.0212571433687127,.0490328698462282,-.0159799470604,-.0007211819600387,.009540438475205,.0002545166605336,-.0085729089626449,-.0164808112734549,-.0159799470604,.0164808112734549
