year,ppi,isic4,output_IV,Z_input,apparent_consumption,change_IP,ls_pre_filled,HHI_dom,d_inv_mu_j,n_firms,dom_j,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu
2011,156.92084,1050,-4.4397834e-06,.0000992702657525,7389396,,.38546646,.1454951,-.0283424229487999,44,236320640,-.0096260947246009,-.0758675428556453,.0791448637460037,.0219936491145575
2012,172.42166,1050,5.2982091e-06,-1.82073472857e-06,8567483,-.00001176317,.38546646,.16678801,.038137984558069,50,269852480,-.1420682620548789,.1978201242876207,.1412304072692118,.1588442849438843
2013,188.25166,1050,-.000015537586,-.0000985948897565,9326513,7.2615858e-06,.38546646,.10523772,-.0498644138096624,64,410843648,-.0013721404105655,-.30615069357301,.3021324698768451,.0444740497029324
2014,214.41333,1050,4.0315804e-06,.0001223499649314,9708227,.000071927192,.38546646,.08943367,.0146753664553383,70,426651616,.0013258016813239,.0044395083410429,.0822345899703346,.0733245335373627
2015,227.71834,1050,3.2137191e-07,.0000372025390005,8673688,-.000019241175,.38546646,.072315589,-.0207093909152894,70,446376704,-.0052386382530979,-.0681751023300344,.0751135427032121,.0224091930353691
2016,236.93333,1050,-5.8736390e-07,.0000186859766913,8109172,-.000072360075,.38546646,.050500739,-.1760814274226243,68,339803200,-.0023330098583817,-.0315813432682674,.0764760246508361,.2186430989468113
2017,255.78667,1050,-4.9681230e-06,-.0000257519553486,7640499.5,-2.0818652e-07,.38546646,.10745934,-.0339469569750617,65,527913536,.0146539860948281,-.2458688847029686,.3040831092684966,.1068151676354177
2018,313.47751,1050,3.3937463e-06,-.0000146679471698,7452413.5,1.4491070e-06,.38546646,.032431252,-.1407042520104986,58,213001984,-.0083782348889566,.167558488247712,.0170225647009994,.3169070700702535
2019,379.09833,1050,-2.5437450e-06,.0000988163690252,7494417,-4.4068511e-06,.38546646,.046774741,.1093778189347085,59,199500336,-.0127428599634569,.0856039645595506,.0811567315735884,.0446400172349738
2020,431.40167,1050,,,,,.38546646,.06107752,.0739482162150173,55,137831744,.0127294116403078,.0764690972890731,.0286471968100459,.0438974895244095
2021,700.66833,1050,,,,,.38546646,.055658389,-.0008823315805945,38,70603448,.005763500408322,.0676206251405591,.1392265728638785,.213493029993354
2022,1549.3208,1050,,,,,.38546646,.067674764,.0597738677335077,24,37033116,-.0112787978182201,.3149341875913374,3.62089289665e-06,.2438851429325063
2009,162.96584,1061,,,,,.40725896,.13148737,,17,195741072,0,0,0,0
2010,146.72333,1061,,,,,.40725896,.11359242,-.0071040816241295,22,326533632,-.0011004480725004,-.072265778832719,.1278650608158714,.0616029155347815
2011,170.02499,1061,.000019018995,.0000992702657525,5600140,,.40725896,.079696611,-.0585780378519567,36,402377248,-.0027574318801747,-.1756950413610862,.2034112341850548,.0835367987957509
2012,177.11583,1061,-.00010170257,-1.82073472857e-06,5275293.5,.000016551103,.40725896,.059995867,.0201264751172354,44,474458528,.0010507158999817,-.061715727997077,.2271745065472026,.146383019332872
2013,188.91333,1061,.00010642667,-.0000985948897565,5814373,-9.3035869e-06,.40725896,.06734544,.0481820904702066,51,602910976,.0018853780217986,-.1109033868953116,.1827577065256721,.0255576071819521
2014,212.38834,1061,-.000085407373,.0001223499649314,6020554,-9.3705112e-06,.40725896,.047893822,.0065059417856731,60,628930624,.0002834009203111,-.0080264450234894,.0519253185555386,.0376763326666874
2015,220.53833,1061,.00004149256,.0000372025390005,5363044,.000031957654,.40725896,.046271507,-.0453616537470941,45,424011744,-.0067184399706143,.1744124760858091,.1278884526082925,.3409441424705814
2016,236.83333,1061,-6.2885920e-06,.0000186859766913,5200773.5,.00022739773,.52498507,.033482745,-.0914911853752636,47,319947168,-.0083892669819782,.0603451406093888,.1062107267075739,.249657785710248
