objective,output_scale,output_markup,high_markup_output,concentration_output,share_output,mean_reversion,drift
37.63492579088011,1.0,-0.4,-0.25,-0.5,-0.15,-0.05,0.0
37.63492576980587,1.00000001,-0.4,-0.25,-0.5,-0.15,-0.05,0.0
37.63492610927305,1.0,-0.39999999,-0.25,-0.5,-0.15,-0.05,0.0
37.63492576624886,1.0,-0.4,-0.24999999,-0.5,-0.15,-0.05,0.0
37.634925872910614,1.0,-0.4,-0.25,-0.49999999,-0.15,-0.05,0.0
37.634925788046594,1.0,-0.4,-0.25,-0.5,-0.14999999,-0.05,0.0
37.63492565584671,1.0,-0.4,-0.25,-0.5,-0.15,-0.04999999,0.0
37.63492320142608,1.0,-0.4,-0.25,-0.5,-0.15,-0.05,1e-08
2717.7361982330267,3.1074242923372797,-5.0,2.213124816518416,-8.70305033221104,0.1333516534010417,1.5,0.5
2717.7361982641983,3.1074243023372796,-5.0,2.213124816518416,-8.70305033221104,0.1333516534010417,1.5,0.5
2717.7361897245755,3.1074242923372797,-4.99999999,2.213124816518416,-8.70305033221104,0.1333516534010417,1.5,0.5
2717.7361974324217,3.1074242923372797,-5.0,2.213124826518416,-8.70305033221104,0.1333516534010417,1.5,0.5
2717.736197228039,3.1074242923372797,-5.0,2.213124816518416,-8.70305032221104,0.1333516534010417,1.5,0.5
2717.736198153482,3.1074242923372797,-5.0,2.213124816518416,-8.70305033221104,0.13335166340104168,1.5,0.5
2717.7362025142993,3.1074242923372797,-5.0,2.213124816518416,-8.70305033221104,0.1333516534010417,1.49999999,0.5
2717.7361715287657,3.1074242923372797,-5.0,2.213124816518416,-8.70305033221104,0.1333516534010417,1.5,0.49999999
28.370458947014544,1.1118121005436274,-0.6440589037389584,-0.11931575163223745,-0.9352233633467228,-0.1349664143692001,0.032237239303344684,0.026528141710756348
28.370459010588323,1.1118121105436274,-0.6440589037389584,-0.11931575163223745,-0.9352233633467228,-0.1349664143692001,0.032237239303344684,0.026528141710756348
28.370458664261953,1.1118121005436274,-0.6440588937389583,-0.11931575163223745,-0.9352233633467228,-0.1349664143692001,0.032237239303344684,0.026528141710756348
28.370458959417615,1.1118121005436274,-0.6440589037389584,-0.11931574163223746,-0.9352233633467228,-0.1349664143692001,0.032237239303344684,0.026528141710756348
28.370458927274683,1.1118121005436274,-0.6440589037389584,-0.11931575163223745,-0.9352233533467228,-0.1349664143692001,0.032237239303344684,0.026528141710756348
28.370458940645506,1.1118121005436274,-0.6440589037389584,-0.11931575163223745,-0.9352233633467228,-0.1349664043692001,0.032237239303344684,0.026528141710756348
28.370458044229487,1.1118121005436274,-0.6440589037389584,-0.11931575163223745,-0.9352233633467228,-0.1349664143692001,0.032237249303344685,0.026528141710756348
28.370458245952886,1.1118121005436274,-0.6440589037389584,-0.11931575163223745,-0.9352233633467228,-0.1349664143692001,0.032237239303344684,0.02652815171075635
23.860069144661544,1.1055167052336956,-0.6236091352998077,-0.12396028768983879,-0.9207008364243141,-0.1351589793172886,0.06905602996977789,0.052661788974119925
23.860069209764806,1.1055167152336955,-0.6236091352998077,-0.12396028768983879,-0.9207008364243141,-0.1351589793172886,0.06905602996977789,0.052661788974119925
23.860068805698063,1.1055167052336956,-0.6236091252998076,-0.12396028768983879,-0.9207008364243141,-0.1351589793172886,0.06905602996977789,0.052661788974119925
23.860069161497304,1.1055167052336956,-0.6236091352998077,-0.12396027768983879,-0.9207008364243141,-0.1351589793172886,0.06905602996977789,0.052661788974119925
23.860069111226938,1.1055167052336956,-0.6236091352998077,-0.12396028768983879,-0.9207008264243141,-0.1351589793172886,0.06905602996977789,0.052661788974119925
23.860069138885525,1.1055167052336956,-0.6236091352998077,-0.12396028768983879,-0.9207008364243141,-0.1351589693172886,0.06905602996977789,0.052661788974119925
23.860068649867458,1.1055167052336956,-0.6236091352998077,-0.12396028768983879,-0.9207008364243141,-0.1351589793172886,0.06905603996977788,0.052661788974119925
23.8600691851622,1.1055167052336956,-0.6236091352998077,-0.12396028768983879,-0.9207008364243141,-0.1351589793172886,0.06905602996977789,0.052661798974119926
25.066003320291454,0.9810536200837763,-0.33671101801569303,-0.261917612966718,-0.4640338048411172,-0.15006284522149443,0.0662812371740921,0.11926044590629467
25.06600328158688,0.9810536300837763,-0.33671101801569303,-0.261917612966718,-0.4640338048411172,-0.15006284522149443,0.0662812371740921,0.11926044590629467
25.066003866813347,0.9810536200837763,-0.33671100801569304,-0.261917612966718,-0.4640338048411172,-0.15006284522149443,0.0662812371740921,0.11926044590629467
25.066003398726146,0.9810536200837763,-0.33671101801569303,-0.261917602966718,-0.4640338048411172,-0.15006284522149443,0.0662812371740921,0.11926044590629467
25.066003460201795,0.9810536200837763,-0.33671101801569303,-0.261917612966718,-0.46403379484111723,-0.15006284522149443,0.0662812371740921,0.11926044590629467
