isic4,year,inv_mu_j,ln_mu_j,HHI_dom,CR4_dom,CR10_dom,n_firms,dom_j,change_IP,output_IV,Z_input,ls_pre_filled,post2016,mu_j,d_inv_mu_j,d_ln_mu_j,ls_pre_x_post2016,S_jt,q75_dln_mu_model,q80_dln_mu_model,q85_dln_mu_model,q90_dln_mu_model,counterfactual_label,scenario,observed_output_shock,observed_input_shock,output_shock_model,input_shock_model
1010,2011,0.8879008693332306,0.11889517585521416,0.15096377076487122,0.6996209017285107,0.8827876060798507,32,540556672.0,,-5.1945008e-05,9.927026575251574e-05,0.5095688,0.0,1.126251853713073,,,0.0,0.010554005391895771,-0.0010688982351848841,0.0,0.0,0.001030063902930303,output-competition counterfactuals,observed,,,,
1010,2012,0.9144647881531176,0.08941631582568041,0.11533110713868969,0.6145825784497745,0.8791024871731902,34,655645248.0,-0.00025143847,3.7762056e-05,-1.820734728569251e-06,0.5095688,0.0,1.093535817841201,0.026563918819886956,-0.029478860029533746,0.0,0.013978056609630585,0.0,0.0,0.022425252136378103,0.08831992906922748,output-competition counterfactuals,observed,,,,
1010,2013,0.8076406588382634,0.2136380485429497,0.18391241266715383,0.7630653980658866,0.9191629987337477,31,416806592.0,1.3901961e-05,-2.0820778e-05,-9.85948897564981e-05,0.5095688,0.0,1.2381744146442955,-0.10682412931485419,0.1242217327172693,0.0,0.011111524887382984,0.006795754788210373,0.014379630576264013,0.05206985241477258,0.08391248121301814,output-competition counterfactuals,observed,,,,
1010,2014,0.8886353710589698,0.11806828389445309,0.14852125093940208,0.7242631403180171,0.9009022311763428,34,535848512.0,1.8674378e-05,-2.6832036e-05,0.00012234996493143413,0.5095688,0.0,1.125320950040869,0.08099471222070642,-0.09556976464849662,0.0,0.012778731063008308,0.0,0.0,0.0001331184160727047,0.010528121399752408,output-competition counterfactuals,observed,,,,
1010,2015,0.8934525934585038,0.11266200291557894,0.1461391162731507,0.7197290567091622,0.9223745670119969,31,531520608.0,-3.9051556e-05,-3.126033e-05,3.720253900052484e-05,0.5095688,0.0,1.1192535645669317,0.004817222399533971,-0.005406280978874148,0.0,0.014474684372544289,0.0,0.0,0.0018921107087529337,0.005096514424584864,output-competition counterfactuals,observed,,,,
1010,2016,0.7973400738065497,0.22647399884470099,0.1624495751802,0.6847714965311951,0.8543344384092785,32,412427520.0,2.1378431e-05,-2.2927674e-05,1.8685976691301676e-05,0.5095688,1.0,1.2541699995410234,-0.09611251965195411,0.11381199592912204,0.5095688104629517,0.011828429996967316,0.0,0.03098167915711019,0.13614223809871606,0.15868155479670298,output-competition counterfactuals,observed,,,,
1010,2017,0.8508538158598592,0.1615149444126169,0.296337734088889,0.7729893682248239,0.8940904486384593,36,454183456.0,-1.4502842e-05,1.656906e-05,-2.575195534859631e-05,0.5095688,1.0,1.175290022046168,0.0535137420533095,-0.06495905443208408,0.5095688104629517,0.013916059397161007,0.0,0.0,0.0,0.015058246943094739,output-competition counterfactuals,observed,,,,
1010,2018,0.958280266671991,0.04261498985947506,0.3255902393677759,0.8326764858049983,0.9276178405565187,36,355014304.0,-8.085908e-06,1.4056211e-05,-1.466794716975528e-05,0.5095688,1.0,1.043536045538011,0.10742645081213176,-0.11889995455314184,0.5095688104629517,0.015914125367999077,-0.0075657492983794705,-0.001708904547876533,0.0,0.0,output-competition counterfactuals,observed,,,,
1010,2019,0.9657957663129314,0.034802889158711284,0.27525360790834413,0.8212408156173157,0.9353613938767673,33,222970288.0,1.672043e-05,7.2952537e-07,9.881636902520086e-05,0.5095688,1.0,1.0354155970445473,0.007515499640940448,-0.007812100700763776,0.5095688104629517,0.011571243405342102,0.0,0.0,0.0,0.030744464590357207,output-competition counterfactuals,observed,,,,
1020,2011,0.5522151029770535,0.5938176293040478,0.7240168940593443,0.9980795124023722,0.9999999999999999,5,13181863.0,,0.0013561246,9.927026575251574e-05,0.45122012,0.0,1.8108885371097023,,,0.0,0.0002573670062702149,-0.017788324686836915,0.039593740916952516,0.09697580652074182,0.15435787212453125,output-competition counterfactuals,observed,,,,
1020,2012,0.9078686361349616,0.09665558470729063,0.4993066581474681,0.9955213070066216,1.0,7,11862847.0,0.00014136825,-0.00018695217,-1.820734728569251e-06,0.45122012,0.0,1.101480941402785,0.35565353315790815,-0.49716204459675717,0.0,0.0002529104531276971,-0.02444869429018616,-0.020452472528176606,-0.0015798071423756832,0.0470457454910083,output-competition counterfactuals,observed,,,,
1020,2013,0.747740475981259,0.29069931845555647,0.7046921154792829,0.9965524807510575,1.0000000000000002,6,10789942.0,-0.0029915895,-0.0006400647,-9.85948897564981e-05,0.45122012,0.0,1.3373624032960114,-0.16012816015370257,0.19404373374826583,0.0,0.00028764590388163924,0.06902418699596422,0.0821268917006765,0.10395795816137283,0.12578902462206917,output-competition counterfactuals,observed,,,,
1020,2014,0.9404131888034425,0.06143593774055371,0.5364299855260966,0.9967838876991706,1.0,6,25699522.0,0.001967331,-0.00029639623,0.00012234996493143413,0.45122012,0.0,1.0633623729505264,0.19267271282218346,-0.22926338071500274,0.0,0.000612873409409076,0.006074299879397463,0.008099066505863284,0.04400300905963368,0.07990695161340408,output-competition counterfactuals,observed,,,,
