moment,data_kind,data,data_se,role,moment_group,data_notes,model_kind,model,model_se,model_role,model_moment_group,model_notes,in_objective,gap,weight,weight_multiplier,objective
baseline_iv_dln_mu,iv,-0.42866384933221285,0.2429369532292093,causal_core,causal_core,Baseline firm-level IV retained as in thesis-aligned notebook definition.,iv,-0.44060201659813447,0.11300759814560714,causal_core,causal_core,Baseline firm-level IV retained as in thesis-aligned notebook definition.,True,0.011938167265921618,50.831636715885985,3.0,1.7266047678412648
grouped_iv_q80,iv,-0.8034009476073674,0.253265500242958,causal_core,causal_core,Tail grouped-IV moment preserved from current working definition.,iv,-0.8026008952736048,0.4863344782089949,causal_core,causal_core,Tail grouped-IV moment preserved from current working definition.,True,-0.0008000523337625687,31.180130388084187,2.0,1.7266047678412648
grouped_iv_q85,iv,-1.2360753966037654,0.4609199803121985,causal_core,causal_core,Tail grouped-IV moment preserved from current working definition.,iv,-0.941779125715624,0.7206562146753773,causal_core,causal_core,Tail grouped-IV moment preserved from current working definition.,True,-0.29429627088814136,11.767628227403161,2.5,1.7266047678412648
grouped_iv_q90,iv,-1.6249768143285848,0.6279658759754445,causal_core,causal_core,Tail grouped-IV moment preserved from current working definition.,iv,-1.7710333248458021,0.679554594807632,causal_core,causal_core,Tail grouped-IV moment preserved from current working definition.,True,0.14605651051721735,7.607626202603123,3.0,1.7266047678412648
grouped_iv_q90_cr4_interaction,iv,-5.371186749003071,2.327083442497131,causal_core,causal_core,Causal output-competition heterogeneity moment; CR4_dom reconstructed from firm sales shares when absent in data_ready_mec.dta.,iv,-5.0419534810117135,3.240862414918154,causal_core,causal_core,Causal output-competition heterogeneity moment; CR4_dom reconstructed from firm sales shares when absent in data_ready_mec.dta.,True,-0.32923326799135744,0.3693227693500712,2.0,1.7266047678412648
sector_inverse_markup_iv,iv,0.12750310562267891,0.19129975182999168,causal_core,causal_core,Sector-level inverse-markup IV moment.,iv,0.23770905895254876,1.0835865873500978,causal_core,causal_core,Sector-level inverse-markup IV moment.,True,-0.11020595332986985,40.98853968467252,1.5,1.7266047678412648
