isic4,year,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu,d_inv_mu_j_components,n_firms,dom_j,ls_pre_filled,post2016,change_IP,output_IV,Z_input,ls_pre_x_post2016,within_inv_mu_abs_share,between_inv_mu_abs_share,entry_inv_mu_abs_share,exit_inv_mu_abs_share,counterfactual_label,scenario
1010,2011,0.0,0.0,0.0,0.0,0.0,32,5.405567e+08,0.5095688,0.0,,-5.1945004088338464e-05,9.927026575251574e-05,0.0,,,,,output-competition counterfactuals,observed
1010,2012,0.04208477198317264,-0.20996840573692516,0.3015091597889735,0.10706160721533392,0.026563918819887095,34,6.5564525e+08,0.5095688,0.0,-0.00025143843959085643,3.776205630856566e-05,-1.8207347285692508e-06,0.0,0.06370458158420113,0.3178334775989969,0.4564005924955614,0.16206134832124075,output-competition counterfactuals,observed
1010,2013,-0.08947515025422947,0.2663737284174742,0.058640668840557235,0.34236337631865627,-0.1068241293148543,31,4.168066e+08,0.5095688,0.0,1.3901963939133566e-05,-2.0820780264330097e-05,-9.859488975649813e-05,0.0,0.11821999682757181,0.3519491304455643,0.07747960930604492,0.452351263420819,output-competition counterfactuals,observed
1010,2014,0.08515062709556764,-0.09661178064532756,0.0950295925637271,0.0025737267932606704,0.08099471222070652,34,5.358485e+08,0.5095688,0.0,1.86743800441036e-05,-2.683203638298437e-05,0.00012234996493143416,0.0,0.30479983346608913,0.34582545843741647,0.3401619574130188,0.009212750683475568,output-competition counterfactuals,observed
1010,2015,0.007564323440767851,0.02978234056741147,0.020031473969288175,0.05256091557793351,0.004817222399533978,31,5.315206e+08,0.5095688,0.0,-3.9051556086633354e-05,-3.1260333344107494e-05,3.720253900052484e-05,0.0,0.06880469856833905,0.2708986443330023,0.18220526120132388,0.47809139589733474,output-competition counterfactuals,observed
1010,2016,-0.10922482907867985,0.3328144325238455,0.11869928258984683,0.43840140568696667,-0.09611251965195416,32,4.1242752e+08,0.5095688,1.0,2.1378431483753957e-05,-2.292767385370098e-05,1.8685976691301676e-05,0.5095688104629517,0.10931884876775308,0.3331009160068495,0.11880145779796067,0.43877877742743665,output-competition counterfactuals,observed
1010,2017,0.06740389531846745,-0.03268298753923065,0.02755099475117175,0.008758160477099038,0.05351374205330951,36,4.5418346e+08,0.5095688,1.0,-1.4502843441732693e-05,1.6569059880566783e-05,-2.5751955348596315e-05,0.5095688104629517,0.4941778094462211,0.23961830561845887,0.20199263217459928,0.06421125276072072,output-competition counterfactuals,observed
1010,2018,0.08818107044918438,-0.08106562988560291,0.20397245768943137,0.10366144744088102,0.10742645081213181,36,3.550143e+08,0.5095688,1.0,-8.085908120847307e-06,1.405621151207015e-05,-1.466794716975528e-05,0.5095688104629517,0.1849122598793502,0.16999145898697207,0.4277222754540371,0.21737400567964058,output-competition counterfactuals,observed
1010,2019,0.007282465410892753,0.013867780095912927,0.05645128683910767,0.07008603270497293,0.007515499640940421,33,2.2297029e+08,0.5095688,1.0,1.672043072176166e-05,7.295253681149916e-07,9.881636902520087e-05,0.5095688104629517,0.04930994297579185,0.09389944299734872,0.38223452881532155,0.47455608521153786,output-competition counterfactuals,observed
1020,2011,0.0,0.0,0.0,0.0,0.0,5,1.3181863e+07,0.45122012,0.0,,0.0013561246450990438,9.927026575251574e-05,0.0,,,,,output-competition counterfactuals,observed
1020,2012,-0.05160661970243489,0.08835512953151206,0.729354329041544,0.410449305712713,0.35565353315790815,7,1.1862847e+07,0.45122012,0.0,0.00014136824756860733,-0.00018695216567721218,-1.820734728569251e-06,0.0,0.040325062974910536,0.06904009956587985,0.5699125309739326,0.32072230648527705,output-competition counterfactuals,observed
1020,2013,-0.15817013953371817,0.037264322588687476,0.026633292529857452,0.06585563573852928,-0.16012816015370251,6,1.0789942e+07,0.45122012,0.0,-0.0029915892519056797,-0.000640064652543515,-9.859488975649809e-05,0.0,0.5493480030192656,0.1294244366117994,0.09250131604003636,0.22872624432889876,output-competition counterfactuals,observed
1020,2014,0.17461598373869971,0.01805672908348362,0.0,0.0,0.19267271282218335,6,2.5699522e+07,0.45122012,0.0,0.0019673306960612535,-0.0002963962033390999,0.00012234996493143413,0.0,0.9062828938306998,0.09371710616930007,0.0,0.0,output-competition counterfactuals,observed
1020,2017,0.0,0.0,0.9322798729870708,0.0,0.9322798729870708,5,1.8833954e+07,0.45122012,1.0,0.0013982097152620554,3.269711305620149e-05,-2.5751955348596315e-05,0.4512201249599457,0.0,0.0,1.0,0.0,output-competition counterfactuals,observed
1020,2018,-0.0029625160791257495,0.01578180963671831,0.0,0.0,0.012819293557592561,5,1.3774905e+07,0.45122012,1.0,-0.00044175845687277615,-1.7773947547539137e-05,-1.4667947169755282e-05,0.4512201249599457,0.15804868758877874,0.8419513124112212,0.0,0.0,output-competition counterfactuals,observed
1030,2011,0.0,0.0,0.0,0.0,0.0,65,2.1414008e+08,0.50890255,0.0,,0.00011970283230766654,9.927026575251573e-05,0.0,,,,,output-competition counterfactuals,observed
1030,2012,0.02351285410587028,-0.13521978869294485,0.3280080428403528,0.21588889460300756,0.00041221365027066525,69,3.587585e+08,0.50890255,0.0,-0.00014828226994723082,-1.7977838524529943e-06,-1.8207347285692508e-06,0.0,0.03346408230886906,0.19244818677622227,0.46682925408192777,0.3072584768329809,output-competition counterfactuals,observed
1030,2013,-0.030386845606905345,0.20186530024929836,0.13828708121558203,0.3632134012694542,-0.05344786541147911,86,1.757332e+08,0.50890255,0.0,0.0005392854800447822,-0.0001115610939450562,-9.85948897564981e-05,0.0,0.041412929144253235,0.2751135634166596,0.18846553439706396,0.49500797304202326,output-competition counterfactuals,observed
1030,2014,0.03513955059599269,-0.07407752571228104,0.17854797527940533,0.1250994383073366,0.014510561855780368,91,2.1140312e+08,0.50890255,0.0,0.00023536071239504963,-9.128578676609322e-05,0.00012234996493143413,0.0,0.08511158371825117,0.17942333992230158,0.4324614483672524,0.3030036279921948,output-competition counterfactuals,observed
1030,2015,-0.011463123291503301,-0.09865820371861123,0.2739202072023201,0.22114722538050946,-0.057348345188303895,96,1.9080766e+08,0.50890255,0.0,0.0013172097969800234,-1.8174458091380075e-05,3.720253900052484e-05,0.0,0.01894140152109486,0.16302054880359926,0.4526194560959155,0.36541859357939044,output-competition counterfactuals,observed
1030,2016,-0.03348628445850913,0.10893471572129876,0.031637474814772464,0.12885599955103028,-0.02177009347346817,92,1.6366926e+08,0.50890255,1.0,-0.0014466308057308197,8.538019756088033e-05,1.8685976691301672e-05,0.5089025497436523,0.11054699353254913,0.35962202164392176,0.10444358877940885,0.42538739604412035,output-competition counterfactuals,observed
1030,2017,0.016852508128116107,-0.08327275916852174,0.20417866373561663,0.11328382120911826,0.02447459148609274,92,1.5093829e+08,0.50890255,1.0,0.0013053194852545857,-1.8458325939718634e-05,-2.5751955348596315e-05,0.5089025497436523,0.04035680653386374,0.19941379679255697,0.4889479220587818,0.27128147461479735,output-competition counterfactuals,observed
1030,2018,0.0006689078417368762,0.041060430887565044,0.11997335233979448,0.13220714519334126,0.029495545875755147,80,1.19990936e+08,0.50890255,1.0,-0.0005750764976255596,-1.2503061043389607e-05,-1.4667947169755282e-05,0.5089025497436523,0.002275894710579185,0.13970417393891305,0.4081978128580494,0.44982211849245834,output-competition counterfactuals,observed
1030,2019,-0.0334680982247058,0.04386522062619879,0.0914927639250124,0.14552772052420598,-0.04363783419770059,81,9.9073624e+07,0.50890255,1.0,0.0014949636533856392,-3.8977763324510306e-05,9.881636902520087e-05,0.5089025497436523,0.1064663378440273,0.13954092543400645,0.2910502846299637,0.4629424520920026,output-competition counterfactuals,observed
1040,2011,0.0,0.0,0.0,0.0,0.0,29,6.275112e+08,0.44992137,0.0,,-0.00013379225856624544,9.927026575251574e-05,0.0,,,,,output-competition counterfactuals,observed
1040,2012,-0.015361450827572898,-0.01923495149643682,0.08711544090912504,0.06358055767748005,-0.011061519092364733,37,6.763853e+08,0.44992137,0.0,6.426518666557968e-05,0.00011965239536948502,-1.8207347285692508e-06,0.0,0.08290383605630579,0.1038086365220977,0.4701511798702937,0.34313634755130273,output-competition counterfactuals,observed
1040,2013,0.003360881585308396,-0.14657144553275617,0.15521067109077213,0.0043752347529579325,0.00762487239036643,45,6.335896e+08,0.44992137,0.0,7.328164792852476e-05,2.0419072825461626e-05,-9.859488975649808e-05,0.0,0.010858428445872027,0.47354704803722564,0.5014588950239017,0.01413562849300057,output-competition counterfactuals,observed
1040,2014,0.004941735989601018,-0.0687185391571582,0.13760196675414477,0.07121068516259056,0.0026144784239970215,39,8.172385e+08,0.4499214,0.0,-8.986405009636655e-05,4.657609679270536e-05,0.0001223499649314341,0.0,0.017494547321663185,0.24327477989319515,0.4871332916205965,0.2520973811645452,output-competition counterfactuals,observed
1040,2015,-0.02081241276631139,0.22057403146858962,0.10001742910269676,0.3283279695109354,-0.028548921705960406,40,5.310006e+08,0.44992137,0.0,7.707843906246126e-06,-1.304577017435804e-05,3.7202539000524844e-05,0.0,0.03107574022132666,0.3293467883062486,0.1493395157639484,0.4902379557084762,output-competition counterfactuals,observed
1040,2016,-0.016960291975921832,0.2142694676822952,0.0015142507552428405,0.2261610497160416,-0.027337623254425375,30,3.5012214e+08,0.44992134,1.0,-2.2615915440837853e-05,-2.2299037993889215e-07,1.8685976691301672e-05,0.4499213397502899,0.036958171633879336,0.4669145893092333,0.0032997037662115206,0.4928275352906758,output-competition counterfactuals,observed
1040,2017,0.03345966368330335,-0.1523481858145764,0.3786947191237611,0.21835567834959616,0.041450518642891926,34,3.317387e+08,0.44992137,1.0,0.0001743808388710022,-5.6228902394650504e-05,-2.5751955348596315e-05,0.4499213695526123,0.042740386031256426,0.19460507237930882,0.48373344802698964,0.2789210935624451,output-competition counterfactuals,observed
